scenario,paper_ppe,motor_ppe,delta_ppe,status_ppe,paper_psce,motor_psce,delta_psce,status_psce,paper_ee,motor_ee,delta_ee,status_ee,paper_peo,motor_peo,delta_peo,status_peo
caso_actual,37.13,38.60,+1.47,ok,15.96,16.03,+0.07,ok,1.33,1.34,+0.01,ok,4.04,4.10,+0.06,ok
pe,11.19,11.60,+0.41,ok,16.51,16.58,+0.07,ok,1.38,1.38,+0.00,ok,1.09,0.65,-0.44,ok
cas,47.46,49.65,+2.19,ok,15.32,15.34,+0.02,ok,1.28,1.28,+0.00,ok,7.95,7.95,+0.00,ok
r_10,62.21,63.00,+0.79,ok,15.65,15.63,-0.02,ok,1.30,1.30,+0.00,ok,12.14,13.45,+1.31,ok
r_mas_10,16.56,16.75,+0.19,ok,16.25,16.34,+0.09,ok,1.35,1.36,+0.01,ok,0.89,0.70,-0.19,ok
r_10_gt_40,58.30,59.75,+1.45,ok,15.73,15.79,+0.06,ok,1.31,1.32,+0.01,ok,10.06,9.40,-0.66,ok
pf,75.11,68.00,-7.11,ok,14.57,14.85,+0.28,ok,1.21,1.24,+0.03,warn,24.70,18.50,-6.20,ok
