scenario,paper_ppe,go_ppe,matlab_ppe,delta_go_ppe,delta_matlab_ppe,paper_psce,go_psce,matlab_psce,delta_go_psce,delta_matlab_psce,paper_ee,go_ee,matlab_ee,delta_go_ee,delta_matlab_ee,paper_peo,go_peo,matlab_peo,delta_go_peo,delta_matlab_peo
Caso Actual,37.13,39.58,39.22,2.45,2.09,15.96,10.19,10.12,-5.77,-5.84,1.33,0.85,0.84,-0.48,-0.49,4.04,4.18,4.18,0.14,0.14
PE,11.19,11.14,11.48,-0.05,0.29,16.51,3.49,3.59,-13.02,-12.92,1.38,0.29,0.30,-1.09,-1.08,1.09,1.07,1.01,-0.02,-0.08
CAS,47.46,50.35,49.59,2.89,2.13,15.32,11.58,11.46,-3.74,-3.86,1.28,0.97,0.96,-0.31,-0.32,7.95,7.60,8.08,-0.35,0.13
R-10,62.21,62.97,63.70,0.76,1.49,15.65,13.49,13.54,-2.16,-2.11,1.30,1.13,1.13,-0.17,-0.17,12.14,12.43,12.62,0.29,0.48
R+10,16.56,17.97,17.51,1.41,0.95,16.25,5.36,5.16,-10.89,-11.09,1.35,0.45,0.43,-0.90,-0.92,0.89,0.84,0.84,-0.05,-0.05
R-10>40,58.30,59.92,59.92,1.62,1.62,15.73,13.23,13.26,-2.50,-2.47,1.31,1.10,1.11,-0.21,-0.20,10.06,9.86,9.96,-0.20,-0.10
PF,75.11,63.50,63.58,-11.61,-11.53,14.57,13.57,13.60,-1.00,-0.97,1.21,1.13,1.13,-0.08,-0.08,24.70,12.16,12.52,-12.54,-12.18
